PLAYER,SEASON,TEAM,OFFENSIVE ARCHETYPE,MINUTES,POS,AGE,LEBRON,O-LEBRON,D-LEBRON,WINS ADDED,BOXLEBRON,BOXOLEBRON,BOXDLEBRON
Larry Nance Jr.,2020-21,CLE,Stretch Big,"1,091",PF,28,0.16,-2.07,2.23,1.8,-0.32,-1.38,1.05
Tyrus Thomas,2012-13,CHA,Stretch Big,360,PF,26,-1.56,-2.07,0.51,0.2,-1.15,-1.83,0.68
Chris Kaman,2011-12,NOH,Post Scorer,"1,372",C,29,-1.57,-2.07,0.5,0.6,-0.96,-1.72,0.75
Andre Roberson,2019-20,OKC,Stretch Big,87,SF,28,-1.83,-2.07,0.24,0,-1.72,-1.65,-0.07
Kris Dunn,2016-17,MIN,Primary Ball Handler,"1,333",PG,22,-2,-2.07,0.07,0.3,-1.77,-2.55,0.78
Bruno Fernando,2019-20,ATL,Roll + Cut Big,713,C,21,-2.18,-2.07,-0.11,0.1,-1.88,-1.83,-0.05
D.J. Wilson,2019-20,MIL,Stretch Big,363,PF,23,-2.21,-2.07,-0.14,0,-1.3,-1.42,0.12
Zach Collins,2017-18,POR,Versatile Big,"1,045",C,20,-2.39,-2.07,-0.32,-0.1,-2.16,-2.49,0.33
Jared Terrell,2018-19,MIN,Secondary Ball Handler,111,SG,23,-2.56,-2.07,-0.49,0,-2.18,-1.91,-0.27
Edmond Sumner,2019-20,IND,Secondary Ball Handler,447,SG,24,-2.79,-2.07,-0.72,-0.1,-2.08,-1.56,-0.52
Dairis Bertans,2018-19,NOP,Off Screen Shooter,167,SG,29,-2.85,-2.07,-0.78,-0.1,-2.6,-1.95,-0.65
Jermaine O'Neal,2012-13,PHO,Post Scorer,"1,029",C,34,0,-2.08,2.08,1.6,-0.13,-1.52,1.39
Ian Mahinmi,2011-12,DAL,Roll + Cut Big,"1,139",C,25,-0.19,-2.08,1.89,1.6,-0.7,-1.6,0.9
Reggie Evans,2013-14,TOT,Post Scorer,899,PF,33,-0.9,-2.08,1.18,0.8,-0.89,-1.72,0.83
Brendan Haywood,2010-11,DAL,Post Scorer,"1,331",C,31,-0.95,-2.08,1.13,1.2,-0.39,-1.87,1.48
Gerald Wallace,2013-14,BOS,Versatile Big,"1,416",SF,31,-1.26,-2.08,0.82,1,-1.25,-1.88,0.63
Joel Freeland,2014-15,POR,Roll + Cut Big,617,C,27,-1.28,-2.08,0.8,0.4,-1.31,-2.21,0.91
Ryan Arcidiacono,2017-18,CHI,Secondary Ball Handler,304,PG,23,-1.62,-2.08,0.46,0.1,-1.79,-2.21,0.42
Avery Bradley,2017-18,TOT,Movement Shooter,"1,433",SG,27,-1.91,-2.08,0.17,0.4,-1.77,-1.26,-0.51
Furkan Aldemir,2014-15,PHI,Roll + Cut Big,540,PF,23,-2.06,-2.08,0.02,0.1,-1.42,-2.22,0.81
Jahlil Okafor,2017-18,TOT,Post Scorer,353,C,22,-2.28,-2.08,-0.2,0,-1.01,-1.32,0.31
Alen Smailagic,2020-21,GSW,Stretch Big,84,PF,20,-2.38,-2.08,-0.3,0,-1.8,-1.76,-0.04
Luc Mbah a Moute,2013-14,TOT,Roll + Cut Big,"1,003",PF-SF,27,-2.58,-2.08,-0.5,-0.2,-2.46,-2.25,-0.2
Cameron Payne,2016-17,TOT,Secondary Ball Handler,462,PG,22,-2.81,-2.08,-0.73,-0.2,-1.98,-1.49,-0.49
Keita Bates-Diop,2019-20,TOT,Athletic Finisher,744,PF-SF,24,-2.98,-2.08,-0.9,-0.3,-1.06,-0.94,-0.12
Dwayne Bacon,2020-21,ORL,Secondary Ball Handler,"1,853",SG,25,-3.86,-2.08,-1.78,-1.7,-3.59,-2.44,-1.16
Eric Moreland,2017-18,DET,Roll + Cut Big,805,PF,26,1.52,-2.09,3.61,2.1,0.63,-2.28,2.91
Garrett Temple,2014-15,WAS,Stationary Shooter,735,SG,28,-0.84,-2.09,1.25,0.7,-0.56,-1,0.45
Chris Kaman,2013-14,LAL,Post Scorer,736,C,31,-1.3,-2.09,0.8,0.5,-1.4,-1.44,0.04
De'Anthony Melton,2018-19,PHO,Secondary Ball Handler,984,PG,20,-1.36,-2.09,0.74,0.6,-1.61,-2.12,0.5
Tyson Chandler,2019-20,HOU,Roll + Cut Big,219,C,37,-1.65,-2.09,0.43,0.1,-1.85,-2.18,0.33
Gary Payton II,2019-20,WAS,Athletic Finisher,432,SF,27,-1.76,-2.09,0.33,0.2,-0.91,-1.67,0.76
Solomon Hill,2016-17,NOP,Stationary Shooter,"2,374",SF,25,-1.88,-2.09,0.21,0.7,-1.86,-2.29,0.43
Johnathan Williams,2019-20,WAS,Roll + Cut Big,180,PF,24,-1.89,-2.09,0.2,0.1,-1.12,-1.62,0.5
Markelle Fultz,2018-19,PHI,Slasher,427,SG,20,-2.17,-2.09,-0.08,0,-1.94,-1.72,-0.23
Gary Payton II,2016-17,MIL,Secondary Ball Handler,99,PG,24,-2.5,-2.09,-0.41,0,-1.81,-1.55,-0.26
Kris Dunn,2020-21,ATL,Secondary Ball Handler,45,PG,26,-2.5,-2.09,-0.41,0,-1.95,-1.91,-0.04
Shaquille Harrison,2018-19,CHI,Slasher,"1,430",SG,25,-2.53,-2.09,-0.44,-0.2,-1.3,-1.9,0.6
Kevin Knox II,2020-21,NYK,Stationary Shooter,464,SF,21,-2.86,-2.09,-0.77,-0.1,-2.23,-1.54,-0.69
Kevin Porter Jr.,2019-20,CLE,Secondary Ball Handler,"1,162",SF,19,-3.01,-2.09,-0.92,-0.5,-2.01,-1.56,-0.46
Wayne Ellington,2010-11,MIN,Secondary Ball Handler,"1,181",SG,23,-4.3,-2.09,-2.21,-1.6,-2.73,-1.34,-1.39
Josh Boone,2009-10,NJN,Roll + Cut Big,"1,045",PF,25,-1.06,-2.1,1.04,0.9,-0.82,-1.74,0.91
Axel Toupane,2020-21,MIL,Athletic Finisher,61,SF,28,-1.83,-2.1,0.27,0,-1.86,-1.89,0.03
Greg Oden,2013-14,MIA,Post Scorer,212,C,26,-2,-2.1,0.1,0,-1.63,-1.8,0.17
Ryan Anderson,2018-19,TOT,Movement Shooter,321,PF,30,-2.71,-2.1,-0.61,-0.1,-2.64,-2.09,-0.55
Ryan Hollins,2013-14,LAC,Roll + Cut Big,482,PF,29,-0.86,-2.11,1.25,0.5,-1.81,-2.44,0.63
Zaza Pachulia,2018-19,DET,Roll + Cut Big,878,C,34,-1.14,-2.11,0.97,0.7,-0.71,-1.6,0.89
Darius Bazley,2021-22,OKC,Stationary Shooter,"1,924",PF,21,-2.09,-2.11,0.03,0.4,-1.29,-2.01,0.72
Solomon Hill,2017-18,NOP,Stationary Shooter,187,SF,26,-2.25,-2.11,-0.14,0,-2.4,-2.14,-0.26
Iman Shumpert,2018-19,TOT,Movement Shooter,"1,481",SG,28,-2.41,-2.11,-0.3,-0.1,-1.26,-1.31,0.06
Kyle Singler,2015-16,OKC,Athletic Finisher,977,SF,27,-3.2,-2.11,-1.09,-0.6,-2.67,-2,-0.67
Juan Toscano-Anderson,2019-20,GSW,Athletic Finisher,272,SG,26,-1.3,-2.12,0.82,0.2,-1.34,-2.19,0.85
Isaiah Hartenstein,2018-19,HOU,Roll + Cut Big,221,PF,20,-1.95,-2.12,0.17,0.1,-2.17,-2.32,0.15
Maurice Harkless,2019-20,TOT,Athletic Finisher,"1,427",PF-SF,26,-1.98,-2.12,0.13,0.3,-0.78,-2.01,1.23
DeAndre Liggins,2012-13,OKC,Movement Shooter,290,SG,24,-2.38,-2.12,-0.26,0,-2.08,-1.7,-0.38
Miye Oni,2020-21,UTA,Stationary Shooter,519,SG,23,-2.9,-2.12,-0.78,-0.2,-2.63,-2.33,-0.3
Nemanja Nedovic,2013-14,GSW,Stationary Shooter,142,SG,22,-3,-2.12,-0.88,-0.1,-2.4,-1.81,-0.59
Amir Johnson,2017-18,PHI,Roll + Cut Big,"1,170",C,30,-0.6,-2.13,1.54,1.3,-0.14,-1.15,1.01
Daniel Orton,2013-14,PHI,Post Scorer,251,C,23,-0.77,-2.13,1.36,0.3,-0.46,-1.69,1.23
Daniel Gafford,2019-20,CHI,Roll + Cut Big,609,C,21,-1.06,-2.13,1.07,0.5,-0.69,-1.95,1.25
Cody Zeller,2013-14,CHA,Roll + Cut Big,"1,417",C,21,-1.42,-2.13,0.71,0.8,-0.94,-1.66,0.71
Earl Clark,2010-11,ORL/PHO,Athletic Finisher,464,SF,23,-1.91,-2.13,0.22,0.1,-1.68,-1.69,0.01
Georgios Papagiannis,2016-17,SAC,Post Scorer,355,C,19,-1.96,-2.13,0.17,0.1,-1.87,-2.28,0.41
Dylan Windler,2021-22,CLE,Stationary Shooter,459,SF,25,-2.03,-2.13,0.1,0.1,-1.45,-1.56,0.11
